               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,              0.0394,            0.020157,                   0,             0.79269,             0.94118,             0.94296,             0.58346,            0.042819,            0.006712,                   0,           0.0096337,           0.0096337,           0.0096337
                 113,            0.040931,            0.019887,                   0,             0.67934,                   1,              0.8669,              0.5018,            0.030796,            0.007134,                   0,           0.0096304,           0.0096304,           0.0096304
                 114,            0.041684,            0.018938,                   0,             0.66809,                   1,             0.88516,              0.4158,            0.051356,           0.0069427,                   0,           0.0096271,           0.0096271,           0.0096271
                 115,            0.037201,             0.01584,                   0,             0.53407,             0.94118,             0.80203,             0.46419,            0.042533,           0.0071182,                   0,           0.0096238,           0.0096238,           0.0096238
                 116,            0.038654,            0.021311,                   0,             0.72174,             0.94118,             0.87096,             0.40883,            0.048776,           0.0073287,                   0,           0.0096205,           0.0096205,           0.0096205
                 117,            0.042031,            0.018403,                   0,             0.63049,             0.94118,             0.77751,             0.50849,            0.036115,           0.0076902,                   0,           0.0096172,           0.0096172,           0.0096172
                 118,            0.038993,            0.015566,                   0,              0.6748,             0.85512,             0.78765,             0.30272,            0.058665,           0.0075157,                   0,           0.0096139,           0.0096139,           0.0096139
                 119,            0.039029,            0.016479,                   0,             0.63181,             0.94118,             0.76095,             0.43835,            0.038602,             0.00758,                   0,           0.0096106,           0.0096106,           0.0096106
                 120,             0.03771,              0.0168,                   0,             0.83261,             0.87799,             0.91044,             0.47679,            0.044706,           0.0075924,                   0,           0.0096073,           0.0096073,           0.0096073
                 121,            0.036635,            0.025075,                   0,             0.73172,             0.80292,             0.74112,             0.36885,            0.036945,           0.0083477,                   0,            0.009604,            0.009604,            0.009604
                 122,            0.039973,            0.016713,                   0,              0.7481,             0.87385,             0.86429,             0.48808,            0.040627,           0.0078912,                   0,           0.0096007,           0.0096007,           0.0096007
                 123,             0.03708,            0.018472,                   0,              0.6087,             0.94118,             0.83125,             0.47403,            0.037915,           0.0079105,                   0,           0.0095974,           0.0095974,           0.0095974
                 124,            0.037211,            0.015193,                   0,             0.76241,             0.75554,             0.80581,             0.31521,            0.045539,            0.007988,                   0,           0.0095941,           0.0095941,           0.0095941
                 125,             0.03547,             0.01914,                   0,             0.64859,             0.88235,             0.78995,             0.38983,            0.031415,           0.0082102,                   0,           0.0095908,           0.0095908,           0.0095908
                 126,            0.037579,            0.017648,                   0,             0.79335,             0.94118,             0.89255,             0.35961,            0.037644,           0.0074868,                   0,           0.0095875,           0.0095875,           0.0095875
                 127,            0.036008,            0.017897,                   0,             0.83523,             0.94118,             0.92274,             0.51618,            0.030051,           0.0068223,                   0,           0.0095842,           0.0095842,           0.0095842
                 128,            0.035498,             0.01772,                   0,             0.83531,             0.94118,             0.89224,             0.53663,            0.028204,           0.0065055,                   0,           0.0095809,           0.0095809,           0.0095809
                 129,            0.037618,            0.019627,                   0,             0.54909,             0.94118,             0.78365,             0.50893,            0.029041,           0.0068917,                   0,           0.0095776,           0.0095776,           0.0095776
                 130,            0.036779,            0.019269,                   0,             0.84105,             0.93412,              0.9314,             0.60026,             0.02964,           0.0062933,                   0,           0.0095743,           0.0095743,           0.0095743
                 131,            0.030812,            0.017237,                   0,              0.7574,             0.94118,             0.89268,             0.57383,            0.032042,           0.0064559,                   0,            0.009571,            0.009571,            0.009571
                 132,            0.032714,            0.017559,                   0,             0.87521,             0.94118,              0.9643,             0.57315,            0.030574,            0.006367,                   0,           0.0095677,           0.0095677,           0.0095677
                 133,            0.033101,            0.016097,                   0,             0.81484,             0.94118,             0.94111,             0.61998,            0.039424,           0.0067017,                   0,           0.0095644,           0.0095644,           0.0095644
                 134,            0.034008,            0.021856,                   0,             0.84872,             0.99045,               0.971,             0.59047,             0.03759,           0.0059252,                   0,           0.0095611,           0.0095611,           0.0095611
                 135,            0.036909,            0.018633,                   0,             0.88052,             0.88235,             0.94517,             0.69764,            0.036974,           0.0064099,                   0,           0.0095578,           0.0095578,           0.0095578
                 136,            0.033988,            0.018654,                   0,                   1,             0.87332,              0.9785,             0.67793,            0.030342,            0.006865,                   0,           0.0095545,           0.0095545,           0.0095545
                 137,            0.033622,            0.020755,                   0,             0.92963,             0.94118,             0.97658,             0.69677,             0.03288,           0.0065911,                   0,           0.0095512,           0.0095512,           0.0095512
                 138,            0.029226,            0.020777,                   0,             0.90722,             0.94118,             0.97842,             0.56458,             0.02514,           0.0065999,                   0,           0.0095479,           0.0095479,           0.0095479
                 139,            0.032374,            0.016551,                   0,              0.9308,             0.94118,             0.98397,             0.65919,            0.038096,           0.0072224,                   0,           0.0095446,           0.0095446,           0.0095446
                 140,            0.030755,            0.017452,                   0,             0.83443,             0.94118,             0.92593,             0.65801,            0.031487,           0.0068004,                   0,           0.0095413,           0.0095413,           0.0095413
                 141,            0.032135,            0.016894,                   0,             0.99016,                   1,               0.995,             0.65746,            0.035332,           0.0067701,                   0,            0.009538,            0.009538,            0.009538
                 142,             0.03336,            0.013453,                   0,             0.99215,                   1,               0.995,             0.62226,            0.025243,           0.0065088,                   0,           0.0095347,           0.0095347,           0.0095347
                 143,            0.029582,            0.015198,                   0,                   1,             0.98636,               0.995,             0.61327,            0.026712,           0.0063379,                   0,           0.0095314,           0.0095314,           0.0095314
                 144,            0.028647,            0.014162,                   0,             0.93481,                   1,             0.99222,             0.61904,            0.034569,           0.0067148,                   0,           0.0095281,           0.0095281,           0.0095281
                 145,            0.035314,            0.018822,                   0,             0.93295,                   1,             0.95611,             0.58662,            0.024391,            0.006516,                   0,           0.0095248,           0.0095248,           0.0095248
                 146,            0.035085,            0.014624,                   0,                   1,             0.97682,               0.995,             0.68151,            0.024457,           0.0062547,                   0,           0.0095215,           0.0095215,           0.0095215
                 147,            0.027556,            0.016487,                   0,             0.93871,                   1,             0.99222,             0.71315,            0.025988,           0.0058138,                   0,           0.0095182,           0.0095182,           0.0095182
                 148,            0.030573,            0.021076,                   0,             0.94033,                   1,             0.99222,             0.63496,            0.032529,           0.0054941,                   0,           0.0095149,           0.0095149,           0.0095149
                 149,            0.032181,            0.024023,                   0,                   1,              0.9927,               0.995,              0.7107,            0.023404,           0.0056386,                   0,           0.0095116,           0.0095116,           0.0095116
                 150,            0.037241,             0.02095,                   0,                   1,             0.93839,              0.9875,              0.6375,            0.034772,           0.0068944,                   0,           0.0095083,           0.0095083,           0.0095083
                 151,            0.031722,            0.014039,                   0,             0.72515,             0.93157,             0.92219,             0.56365,             0.03064,           0.0074286,                   0,            0.009505,            0.009505,            0.009505
                 152,            0.032623,            0.022916,                   0,             0.88812,             0.93426,             0.95769,             0.62799,            0.030577,           0.0074568,                   0,           0.0095017,           0.0095017,           0.0095017
                 153,             0.02866,            0.017448,                   0,             0.83848,             0.94118,             0.94697,             0.61106,            0.030771,           0.0075471,                   0,           0.0094984,           0.0094984,           0.0094984
                 154,             0.03116,            0.019265,                   0,             0.82675,             0.94118,             0.91648,             0.56202,            0.031426,           0.0080903,                   0,           0.0094951,           0.0094951,           0.0094951
